produto;preco;vendidos
Smartphone Samsung Galaxy A15;1299.00;85
Smartphone Motorola Moto G84;1199.00;72
Smartphone Xiaomi Redmi 13C;899.00;95
Smartphone Samsung Galaxy A15;1299.00;61
Notebook Dell Inspiron 15;3499.00;28
Notebook Lenovo IdeaPad 3;2999.00;34
Notebook Acer Aspire 5;3199.00;22
Notebook Dell Inspiron 15;3499.00;19
Smart TV LG 50 4K;2799.00;41
Smart TV Samsung 55 4K;3299.00;37
Smart TV TCL 43 Full HD;1799.00;53
Smart TV LG 50 4K;2799.00;29
Tablet Samsung Galaxy Tab A9;1499.00;44
Tablet Lenovo Tab M10;999.00;58
Tablet Samsung Galaxy Tab A9;1499.00;31
Fone de Ouvido JBL Tune 510BT;299.00;120
Fone de Ouvido Sony WH-1000XM5;2199.00;18
Fone de Ouvido JBL Tune 510BT;299.00;98
Fone de Ouvido Philips TAT1235;199.00;140
Caixa de Som JBL Charge 5;899.00;63
Caixa de Som Sony SRS-XB23;699.00;47
Caixa de Som JBL Charge 5;899.00;55
Smartwatch Samsung Galaxy Watch 6;1499.00;36
Smartwatch Xiaomi Redmi Watch 4;599.00;74
Smartwatch Samsung Galaxy Watch 6;1499.00;27
Mouse Logitech MX Master 3;699.00;82
Mouse Logitech M170 Sem Fio;129.00;175
Mouse Logitech MX Master 3;699.00;66
Teclado Mecânico Redragon Kumara;399.00;91
Teclado Logitech K380;299.00;103
Teclado Mecânico Redragon Kumara;399.00;77
Monitor LG 24 Full HD;1199.00;49
Monitor Samsung 27 Full HD;1399.00;38
Monitor LG 24 Full HD;1199.00;42
HD Externo Seagate 1TB;399.00;88
HD Externo WD 2TB;599.00;64
HD Externo Seagate 1TB;399.00;71
Pendrive Kingston 64GB;79.00;210
Pendrive SanDisk 128GB;129.00;183
Pendrive Kingston 64GB;79.00;195
SSD Kingston 480GB;299.00;106
SSD Samsung 500GB;379.00;89
Roteador TP-Link Archer C6;249.00;117
Roteador Intelbras ACtion RF1200;349.00;96
Roteador TP-Link Archer C6;249.00;108
Webcam Logitech C920;699.00;52
Webcam Intelbras CAM-1080p;299.00;79
Impressora HP DeskJet 2376;599.00;33
Impressora Epson L3250;1299.00;26
Impressora HP DeskJet 2376;599.00;21
Carregador Turbo 65W Anker;199.00;154
Carregador Turbo 45W Samsung;149.00;138
Carregador Turbo 65W Anker;199.00;127
Cabo USB-C 2m Baseus;59.00;220
Cabo USB-C 1m Samsung;49.00;198
Cabo USB-C 2m Baseus;59.00;241
Power Bank 20000mAh Anker;329.00;87
Power Bank 10000mAh Xiaomi;199.00;112
Power Bank 20000mAh Anker;329.00;73
Console PlayStation 5;4499.00;15
Console Xbox Series S;3299.00;18
Console Nintendo Switch;2499.00;23
Controle Xbox Series sem fio;449.00;57
Controle PS5 DualSense;449.00;61
Controle Xbox Series sem fio;449.00;48
Camera Digital Sony Cybershot;1799.00;14
Projetor Epson PowerLite;2999.00;11
Ar Condicionado Portabil Delonghi;2799.00;17
Caixa de Som Bluetooth Multilaser;149.00;163
Fone Gamer HyperX Cloud II;599.00;68
